file;cadical_rect_res;cadical_rect_time;cadical_core_res;cadical_core_time;z3_rect_res;z3_rect_time;z3_core;z3_core_time;meancop_res;meancop_time;ematching_res;ematching_time
./TPTP-v8.2.0/Problems/LAT/LAT261-2.p;0;.028045574;0;.027606931;0;.040743736;0;.037672890;0;.004211850;0;.023480904
./TPTP-v8.2.0/Problems/LAT/LAT270-2.p;0;.030792428;0;.028160937;0;.048709710;0;.042183659;0;.003976543;0;.027288320
./TPTP-v8.2.0/Problems/LAT/LAT279-2.p;0;.628331368;0;.448373971;0;1.238022518;0;1.972340351;0;.005231891;0;.028452466
./TPTP-v8.2.0/Problems/LAT/LAT266-2.p;0;1.349542902;0;.619836730;0;2.943637932;0;1.639690365;0;.004725815;0;.028017512
./TPTP-v8.2.0/Problems/LAT/LAT267-1.p;0;4.928322995;0;.225612404;0;7.645869015;0;.240389535;0;.060457028;0;.060462607
./TPTP-v8.2.0/Problems/LAT/LAT039-1.p;0;6.561457555;0;.072795939;255;30.011564701;0;.317466205;0;.004774756;0;.041547310
./TPTP-v8.2.0/Problems/LAT/LAT014-1.p;0;3.422282288;0;.040688513;0;12.406695497;0;.087540178;0;.005695304;255;30.114007392
./TPTP-v8.2.0/Problems/LAT/LAT260-1.p;0;14.506910355;0;5.177414956;0;6.557185128;255;30.006892683;0;.063794283;0;.061496332
./TPTP-v8.2.0/Problems/LAT/LAT277-2.p;255;30.008259591;255;30.007522711;255;30.013427928;255;30.008331141;0;.005183206;0;.090689189
./TPTP-v8.2.0/Problems/LAT/LAT042-1.p;255;30.009843944;255;30.007860587;255;30.016867357;255;30.015314726;0;.193446581;0;.104473753
./TPTP-v8.2.0/Problems/LAT/LAT271-1.p;255;30.067202961;255;30.006984131;255;30.057002352;255;30.008789214;0;.049786328;0;.326974218
./TPTP-v8.2.0/Problems/LAT/LAT268-2.p;255;30.011841936;255;30.007678451;255;30.016001920;255;30.021450448;0;2.569423930;0;.232857243
./TPTP-v8.2.0/Problems/LAT/LAT393-2.p;255;30.007332983;255;30.008702068;255;30.010689855;255;30.009477145;255;30.003362548;255;30.008228235
./TPTP-v8.2.0/Problems/LAT/LAT082-1.p;255;30.007189841;255;30.007254696;255;30.015067210;255;30.010680932;255;30.003419370;255;30.026109778
./TPTP-v8.2.0/Problems/LAT/LAT085-1.p;255;30.007943143;255;30.008099671;255;30.017751490;255;30.013488155;255;30.003794541;255;30.021550751
./TPTP-v8.2.0/Problems/LAT/LAT392-1.p;255;30.008266473;255;30.008099660;255;30.010981054;255;30.014757764;255;30.004305436;255;30.025881480
./TPTP-v8.2.0/Problems/LAT/LAT394-2.p;255;30.010400084;255;30.009920061;255;30.015321681;255;30.009647455;255;30.003178228;255;30.014598010
./TPTP-v8.2.0/Problems/LAT/LAT079-1.p;255;30.007928143;255;30.007989689;255;30.014618177;255;30.012383445;255;30.003864655;255;30.016542635
./TPTP-v8.2.0/Problems/LAT/LAT013-1.p;255;30.008186654;255;30.007748054;255;30.021736794;255;30.014176169;255;30.004355850;255;30.014554466
./TPTP-v8.2.0/Problems/LAT/LAT077-1.p;255;30.008220331;255;30.010398350;255;30.011725807;255;30.009600169;255;30.003218685;255;30.016461122
./TPTP-v8.2.0/Problems/LAT/LAT070-1.p;255;30.008023293;255;30.008937915;255;30.012295453;255;30.010771794;255;30.003329728;255;30.016403599
./TPTP-v8.2.0/Problems/LAT/LAT094-1.p;255;30.006319459;255;30.009599903;255;30.014466298;255;30.012715190;255;30.003840850;255;30.043668809
./TPTP-v8.2.0/Problems/LAT/LAT005-1.p;255;30.007091939;255;30.005785372;255;30.013389570;255;30.015707036;255;30.003789812;255;30.075717676
./TPTP-v8.2.0/Problems/LAT/LAT179-1.p;255;30.007458221;255;30.007281968;255;30.012682049;255;30.013878400;255;30.003674489;255;30.146387431
./TPTP-v8.2.0/Problems/LAT/LAT215-1.p;255;30.007396690;255;30.007135474;255;30.013963978;255;30.014384466;255;30.003532745;255;30.175424296
./TPTP-v8.2.0/Problems/LAT/LAT401-2.p;255;30.008740808;255;30.007122501;255;30.016284605;255;30.021100005;255;30.002943844;255;30.173572769
./TPTP-v8.2.0/Problems/LAT/LAT252-1.p;255;30.007681013;255;30.007457299;255;30.016142479;255;30.013705210;255;30.003401097;255;30.173423333
./TPTP-v8.2.0/Problems/LAT/LAT177-1.p;255;30.008416319;255;30.008247896;255;30.012647527;255;30.009862799;255;30.003955917;255;30.196321348
./TPTP-v8.2.0/Problems/LAT/LAT212-1.p;255;30.007996766;255;30.007231356;255;30.016316838;255;30.018728144;255;30.003294746;255;30.198915284
./TPTP-v8.2.0/Problems/LAT/LAT194-1.p;255;30.008223810;255;30.008395928;255;30.017831980;255;30.015950998;255;30.003720736;255;30.193096658
./TPTP-v8.2.0/Problems/LAT/LAT170-1.p;255;30.007597402;255;30.006699887;255;30.012336685;255;30.009956720;255;30.003425761;255;30.219283022
./TPTP-v8.2.0/Problems/LAT/LAT093-1.p;255;30.006519107;255;30.007053569;255;30.008260705;255;30.010776850;255;30.003694686;255;30.024673514
./TPTP-v8.2.0/Problems/LAT/LAT400-1.p;255;30.007463797;255;30.007916163;255;30.012915373;255;30.015720832;255;30.003521752;255;30.232749990
./TPTP-v8.2.0/Problems/LAT/LAT066-1.p;255;30.009240388;255;30.008326303;255;30.012865207;255;30.012707438;255;30.002895149;255;30.220387031
./TPTP-v8.2.0/Problems/LAT/LAT153-1.p;255;30.007971954;255;30.010270317;255;30.013916124;255;30.009765575;255;30.003012129;255;30.191645950
./TPTP-v8.2.0/Problems/LAT/LAT021-1.p;255;30.007000366;255;30.007705241;255;30.015588386;255;30.014725164;255;30.003550145;255;30.254226873
./TPTP-v8.2.0/Problems/LAT/LAT260-2.p;0;.033364114;0;.030803668;0;.042574729;0;.043866757;0;.005163703;0;.026199271
./TPTP-v8.2.0/Problems/LAT/LAT220-1.p;255;30.007066460;255;30.007562070;255;30.016869188;255;30.014291653;255;30.003829255;255;30.209974326
./TPTP-v8.2.0/Problems/LAT/LAT145-1.p;255;30.007621371;255;30.008300455;255;30.017371596;255;30.011201834;255;30.003262272;255;30.246027755
./TPTP-v8.2.0/Problems/LAT/LAT193-1.p;255;30.008377883;255;30.008897721;255;30.015689493;255;30.015705499;255;30.003068375;255;30.234892992
./TPTP-v8.2.0/Problems/LAT/LAT255-1.p;255;30.006997561;255;30.007257082;255;30.016289503;255;30.013012739;255;30.003083337;255;30.250991413
./TPTP-v8.2.0/Problems/LAT/LAT186-10.p;255;30.008357390;255;30.008791566;255;30.015214087;255;30.014046126;255;30.003295751;255;30.221340756
./TPTP-v8.2.0/Problems/LAT/LAT244-1.p;255;30.008918193;255;30.006939045;255;30.015506853;255;30.015268131;255;30.003689678;255;30.203904664
./TPTP-v8.2.0/Problems/LAT/LAT142-1.p;255;30.009241819;255;30.009014925;255;30.013720954;255;30.008827062;255;30.002946162;255;30.260785114
./TPTP-v8.2.0/Problems/LAT/LAT182-1.p;255;30.007981383;255;30.007919495;255;30.018467022;255;30.018253349;255;30.003766019;255;30.205579043
./TPTP-v8.2.0/Problems/LAT/LAT231-1.p;255;30.008916046;255;30.008483665;255;30.013798323;255;30.014055897;255;30.002941958;255;30.240376892
./TPTP-v8.2.0/Problems/LAT/LAT026-1.p;255;30.006177762;255;30.008610559;255;30.015035210;255;30.013665564;255;30.003587927;255;30.298447310
./TPTP-v8.2.0/Problems/LAT/LAT139-1.p;255;30.007158057;255;30.007203122;255;30.013750437;255;30.009783764;255;30.003251114;255;30.284882765
./TPTP-v8.2.0/Problems/LAT/LAT236-1.p;255;30.007622743;255;30.007041489;255;30.012403179;255;30.013529969;255;30.003918217;255;30.229188089
./TPTP-v8.2.0/Problems/LAT/LAT238-1.p;255;30.007709874;255;30.007272865;255;30.014508552;255;30.017566049;255;30.003922955;255;30.203017557
./TPTP-v8.2.0/Problems/LAT/LAT243-1.p;255;30.008292361;255;30.009015186;255;30.014679154;255;30.014786973;255;30.004028276;255;30.216193948
./TPTP-v8.2.0/Problems/LAT/LAT185-1.p;255;30.007661640;255;30.008442268;255;30.014981253;255;30.018013100;255;30.002989304;255;30.214502167
./TPTP-v8.2.0/Problems/LAT/LAT161-1.p;255;30.009447633;255;30.008144997;255;30.012737873;255;30.014038509;255;30.003323023;255;30.184829142
./TPTP-v8.2.0/Problems/LAT/LAT028-1.p;255;30.008319263;255;30.007093039;255;30.014960885;255;30.012410462;255;30.002995246;255;30.298994285
./TPTP-v8.2.0/Problems/LAT/LAT154-1.p;255;30.007626381;255;30.009348527;255;30.013609803;255;30.011582488;255;30.003308856;255;30.239801913
./TPTP-v8.2.0/Problems/LAT/LAT065-10.p;255;30.008869009;255;30.011353957;255;30.018411567;255;30.013214005;255;30.003337085;255;30.229986699
./TPTP-v8.2.0/Problems/LAT/LAT045-1.p;255;30.007863276;255;30.009982425;255;30.026912254;255;30.011396229;255;30.003146347;255;30.225091161
./TPTP-v8.2.0/Problems/LAT/LAT166-1.p;255;30.007807632;255;30.021016628;255;30.014316498;255;30.011038316;255;30.003276490;255;30.190545070
./TPTP-v8.2.0/Problems/LAT/LAT002-1.p;255;30.007653636;255;30.007864026;255;30.013258387;255;30.009751086;255;30.004070432;255;30.278535480
./TPTP-v8.2.0/Problems/LAT/LAT030-1.p;255;30.005852817;255;30.005652167;255;30.012316999;255;30.010689679;255;30.003813291;255;30.016323328
./TPTP-v8.2.0/Problems/LAT/LAT222-10.p;255;30.008725581;255;30.008358893;255;30.023535350;255;30.013388678;255;30.003205689;255;30.233724387
./TPTP-v8.2.0/Problems/LAT/LAT267-2.p;0;.030567700;0;.029101857;0;.043358832;0;.034547019;0;.005590186;0;.025493250
./TPTP-v8.2.0/Problems/LAT/LAT227-1.p;255;30.007686140;255;30.009303662;255;30.017203688;255;30.012196952;255;30.003676373;255;30.350339450
./TPTP-v8.2.0/Problems/LAT/LAT229-1.p;255;30.008664931;255;30.007493848;255;30.016674113;255;30.015460131;255;30.002919200;255;30.397892147
./TPTP-v8.2.0/Problems/LAT/LAT269-1.p;255;30.055086099;255;30.008681032;255;30.079710879;255;30.008395766;255;30.004070784;255;30.361146472
./TPTP-v8.2.0/Problems/LAT/LAT276-1.p;255;30.090405342;255;30.006796672;255;30.048104930;255;30.006911096;255;30.004083560;255;30.304204942
./TPTP-v8.2.0/Problems/LAT/LAT039-2.p;0;.033170597;0;.030360834;0;.047799904;0;.044033751;0;.004427192;0;.028619373
./TPTP-v8.2.0/Problems/LAT/LAT168-1.p;255;30.007563622;255;30.006276393;255;30.009995380;255;30.009129744;255;30.004253215;255;30.233622243
./TPTP-v8.2.0/Problems/LAT/LAT271-2.p;0;.033117775;0;.029915510;0;.049024709;0;.039340411;0;.004656489;0;.028389695
./TPTP-v8.2.0/Problems/LAT/LAT203-1.p;255;30.007705940;255;30.006911842;255;30.011689084;255;30.012508550;255;30.003695493;255;30.084889559
./TPTP-v8.2.0/Problems/LAT/LAT204-1.p;255;30.007027314;255;30.007146705;255;30.011954666;255;30.012319253;255;30.003844098;255;30.095991424
./TPTP-v8.2.0/Problems/LAT/LAT278-1.p;255;30.131799950;255;30.007385351;255;30.086579583;255;30.005455365;0;.052603930;255;30.234075402
./TPTP-v8.2.0/Problems/LAT/LAT037-1.p;255;30.006511452;255;30.006458113;255;30.011476641;255;30.008121593;255;30.003896341;255;30.110462174
./TPTP-v8.2.0/Problems/LAT/LAT221-1.p;255;30.007403551;255;30.005418332;255;30.010135536;255;30.011440363;255;30.003788343;255;30.093058094
./TPTP-v8.2.0/Problems/LAT/LAT269-2.p;255;30.009814747;255;30.007163462;255;30.014084600;255;30.011239208;0;.005966746;0;.028897183
./TPTP-v8.2.0/Problems/LAT/LAT261-1.p;0;15.249532935;0;12.637580930;0;6.117518268;255;30.007194963;0;.053910510;0;.058552997
./TPTP-v8.2.0/Problems/LAT/LAT012-1.p;255;30.007104133;255;30.008543839;255;30.015137583;255;30.011280540;255;30.003816272;255;30.147557811
./TPTP-v8.2.0/Problems/LAT/LAT015-1.p;255;30.007012388;255;30.006078006;255;30.013823701;255;30.010500906;255;30.004192585;255;30.017563189
./TPTP-v8.2.0/Problems/LAT/LAT270-1.p;255;30.061893983;255;30.007446335;255;30.071442030;255;30.007966958;0;.054327021;0;.335344087
./TPTP-v8.2.0/Problems/LAT/LAT226-1.p;255;30.006420495;255;30.005387161;255;30.011896716;255;30.013550128;255;30.003911896;255;30.092303261
./TPTP-v8.2.0/Problems/LAT/LAT276-2.p;255;30.009817297;255;30.007217734;255;30.014172053;255;30.011561746;255;30.003551867;0;.029137450
./TPTP-v8.2.0/Problems/LAT/LAT279-1.p;255;30.113655039;255;30.006902625;255;30.098282865;255;30.007250439;0;.048871161;255;30.258227579
./TPTP-v8.2.0/Problems/LAT/LAT266-1.p;255;30.047225212;255;30.007447041;255;30.053898620;255;30.007576152;0;.343420215;255;30.261646598
./TPTP-v8.2.0/Problems/LAT/LAT254-1.p;255;30.009477128;255;30.007770319;255;30.013924581;255;30.011239269;255;30.003791074;255;30.121913341
./TPTP-v8.2.0/Problems/LAT/LAT192-1.p;255;30.008886280;255;30.008351225;255;30.017696281;255;30.013649038;255;30.003600836;255;30.109928750
./TPTP-v8.2.0/Problems/LAT/LAT143-1.p;255;30.008632431;255;30.007760237;255;30.014228859;255;30.009077374;255;30.003769081;255;30.118216811
./TPTP-v8.2.0/Problems/LAT/LAT228-1.p;255;30.007758823;255;30.006557089;255;30.012443755;255;30.013737010;255;30.004039268;255;30.118911080
./TPTP-v8.2.0/Problems/LAT/LAT084-1.p;255;30.007830178;255;30.007629036;255;30.010492592;255;30.009687486;255;30.003224241;255;30.011034952
