file;cadical_rect_res;cadical_rect_time;cadical_core_res;cadical_core_time;meancop_res;meancop_time;ematching_res;ematching_time
./TPTP-v8.2.0/Problems/LAT/LAT261-2.p;0;.027144637;0;.026479239;0;.004795011;0;.024215012
./TPTP-v8.2.0/Problems/LAT/LAT270-2.p;0;.030436830;0;.028739266;0;.004469183;0;.026521441
./TPTP-v8.2.0/Problems/LAT/LAT279-2.p;0;.398153887;0;.414225674;0;.004794711;0;.027871845
./TPTP-v8.2.0/Problems/LAT/LAT266-2.p;0;1.770835909;0;.411070644;0;.004889684;0;.028013088
./TPTP-v8.2.0/Problems/LAT/LAT267-1.p;0;4.697489595;0;.225949004;0;.058109990;0;.059924565
./TPTP-v8.2.0/Problems/LAT/LAT039-1.p;0;18.414500183;0;.068568804;0;.003390356;0;.038310339
./TPTP-v8.2.0/Problems/LAT/LAT014-1.p;0;3.336082409;0;.037949870;0;.003413816;255;30.111387612
./TPTP-v8.2.0/Problems/LAT/LAT260-1.p;0;14.268005639;255;30.006326490;0;.057483274;0;.060776828
./TPTP-v8.2.0/Problems/LAT/LAT277-2.p;255;30.009785186;255;30.007968285;0;.004200537;0;.090380677
./TPTP-v8.2.0/Problems/LAT/LAT042-1.p;255;30.007009475;255;30.006816256;0;.194056121;0;.108595528
./TPTP-v8.2.0/Problems/LAT/LAT271-1.p;255;30.080158925;255;30.006686913;0;.050776225;0;.326838431
./TPTP-v8.2.0/Problems/LAT/LAT268-2.p;255;30.010052382;255;30.006474267;0;2.572896614;0;.237206453
./TPTP-v8.2.0/Problems/LAT/LAT082-1.p;255;30.007022224;255;30.007563554;255;30.003295506;255;30.021980760
./TPTP-v8.2.0/Problems/LAT/LAT393-2.p;255;30.007440874;255;30.008007386;255;30.003148111;255;30.010760227
./TPTP-v8.2.0/Problems/LAT/LAT085-1.p;255;30.007587738;255;30.008488178;255;30.003588872;255;30.021593940
./TPTP-v8.2.0/Problems/LAT/LAT392-1.p;255;30.007975578;255;30.007714079;255;30.003296365;255;30.023231502
./TPTP-v8.2.0/Problems/LAT/LAT394-2.p;255;30.008001710;255;30.007067882;255;30.003471670;255;30.011470504
./TPTP-v8.2.0/Problems/LAT/LAT013-1.p;255;30.007302902;255;30.006889998;255;30.003494860;255;30.011954237
./TPTP-v8.2.0/Problems/LAT/LAT079-1.p;255;30.007421254;255;30.006397595;255;30.003273266;255;30.018393210
./TPTP-v8.2.0/Problems/LAT/LAT070-1.p;255;30.007288932;255;30.007169725;255;30.003161593;255;30.013239949
./TPTP-v8.2.0/Problems/LAT/LAT077-1.p;255;30.006996374;255;30.006121388;255;30.003537072;255;30.034824606
./TPTP-v8.2.0/Problems/LAT/LAT215-1.p;255;30.007939998;255;30.008428697;255;30.004210448;255;30.121649994
./TPTP-v8.2.0/Problems/LAT/LAT094-1.p;255;30.007045946;255;30.006932149;255;30.003118531;255;30.037577515
./TPTP-v8.2.0/Problems/LAT/LAT005-1.p;255;30.007973159;255;30.006076318;255;30.011317938;255;30.080065181
./TPTP-v8.2.0/Problems/LAT/LAT179-1.p;255;30.008390069;255;30.008242541;255;30.003716216;255;30.145807736
./TPTP-v8.2.0/Problems/LAT/LAT260-2.p;0;.028896202;0;.030126303;0;.004253877;0;.026212394
./TPTP-v8.2.0/Problems/LAT/LAT093-1.p;255;30.006694508;255;30.006823877;255;30.003273166;255;30.021552360
./TPTP-v8.2.0/Problems/LAT/LAT030-1.p;255;30.005840416;255;30.005575236;255;30.003471032;255;30.020628876
./TPTP-v8.2.0/Problems/LAT/LAT400-1.p;255;30.007490856;255;30.008004336;255;30.003374857;255;30.173240771
./TPTP-v8.2.0/Problems/LAT/LAT142-1.p;255;30.008170884;255;30.008350804;255;30.003375577;255;30.184149907
./TPTP-v8.2.0/Problems/LAT/LAT244-1.p;255;30.007135697;255;30.006607831;255;30.003475270;255;30.176406901
./TPTP-v8.2.0/Problems/LAT/LAT161-1.p;255;30.007069846;255;30.006414646;255;30.002942657;255;30.153303347
./TPTP-v8.2.0/Problems/LAT/LAT267-2.p;0;.032938784;0;.031107148;0;.004934676;0;.026215414
./TPTP-v8.2.0/Problems/LAT/LAT177-1.p;255;30.007934198;255;30.008915349;255;30.003665025;255;30.246176668
./TPTP-v8.2.0/Problems/LAT/LAT252-1.p;255;30.008074781;255;30.005621795;255;30.003374347;255;30.227670389
./TPTP-v8.2.0/Problems/LAT/LAT212-1.p;255;30.008035780;255;30.006915267;255;30.003207583;255;30.256974691
./TPTP-v8.2.0/Problems/LAT/LAT238-1.p;255;30.007218870;255;30.005872952;255;30.003865050;255;30.178449244
./TPTP-v8.2.0/Problems/LAT/LAT185-1.p;255;30.007746964;255;30.007144404;255;30.003331537;255;30.174568095
./TPTP-v8.2.0/Problems/LAT/LAT170-1.p;255;30.007144257;255;30.007828921;255;30.003678134;255;30.253262068
./TPTP-v8.2.0/Problems/LAT/LAT145-1.p;255;30.008081681;255;30.007832891;255;30.003228034;255;30.243352496
./TPTP-v8.2.0/Problems/LAT/LAT236-1.p;255;30.006855831;255;30.006486228;255;30.003230864;255;30.205671843
./TPTP-v8.2.0/Problems/LAT/LAT401-2.p;255;30.009509377;255;30.005639746;255;30.004042584;255;30.266430791
./TPTP-v8.2.0/Problems/LAT/LAT021-1.p;255;30.007928437;255;30.007504182;255;30.004159247;255;30.276334571
./TPTP-v8.2.0/Problems/LAT/LAT193-1.p;255;30.007017064;255;30.007109913;255;30.002875144;255;30.253031531
