file;cadical_rect_res;cadical_rect_time;cadical_core_res;cadical_core_time;z3_rect_res;z3_rect_time;z3_core;z3_core_time;meancop_res;meancop_time;ematching_res;ematching_time
./TPTP-v8.2.0/Problems/LAT/LAT261-2.p;0;.027427067;0;.027697013;0;.036368217;0;.035361650;0;.004364792;0;.022381887
./TPTP-v8.2.0/Problems/LAT/LAT270-2.p;0;.032394494;0;.027990981;0;.046339573;0;.036380397;0;.004594788;0;.026895442
./TPTP-v8.2.0/Problems/LAT/LAT279-2.p;0;.393634749;0;.437364534;0;1.142819163;0;2.167406651;0;.003564212;0;.026464432
./TPTP-v8.2.0/Problems/LAT/LAT266-2.p;0;1.072692777;0;.421727511;0;5.767713633;0;1.802732867;0;.004753742;0;.028969436
./TPTP-v8.2.0/Problems/LAT/LAT267-1.p;0;4.683229896;0;.223605749;0;8.848969253;0;.239628432;0;.054447542;0;.058305162
./TPTP-v8.2.0/Problems/LAT/LAT014-1.p;0;3.342821703;0;.039270612;0;6.375344751;0;.087205695;0;.004738072;255;30.114793323
./TPTP-v8.2.0/Problems/LAT/LAT039-1.p;0;20.931901909;0;.078446920;255;30.010306693;0;.434978580;0;.005607685;0;.043284674
./TPTP-v8.2.0/Problems/LAT/LAT260-1.p;0;14.563478197;0;5.134875326;0;7.129819493;255;30.007938197;0;.063257319;0;.063392793
./TPTP-v8.2.0/Problems/LAT/LAT277-2.p;255;30.007876045;255;30.007537453;255;30.017943274;255;30.007088305;0;.004364233;0;.090052158
./TPTP-v8.2.0/Problems/LAT/LAT042-1.p;255;30.007626049;255;30.007728067;255;30.017151395;255;30.013906950;0;.195109562;0;.104916650
./TPTP-v8.2.0/Problems/LAT/LAT271-1.p;255;30.065443938;255;30.006493665;255;30.055037769;255;30.007179437;0;.049864154;0;.327236572
./TPTP-v8.2.0/Problems/LAT/LAT268-2.p;255;30.011263713;255;30.006890416;255;30.017075492;255;30.021952968;0;2.564066754;0;.230892663
./TPTP-v8.2.0/Problems/LAT/LAT393-2.p;255;30.007058804;255;30.007836810;255;30.010477363;255;30.011490658;255;30.003858130;255;30.009534610
./TPTP-v8.2.0/Problems/LAT/LAT085-1.p;255;30.008105571;255;30.007562633;255;30.015138743;255;30.009274171;255;30.003823589;255;30.019361412
./TPTP-v8.2.0/Problems/LAT/LAT082-1.p;255;30.008769769;255;30.008392585;255;30.017264367;255;30.010534154;255;30.003905062;255;30.027428590
./TPTP-v8.2.0/Problems/LAT/LAT394-2.p;255;30.007333312;255;30.009991856;255;30.013569943;255;30.009154078;255;30.002834733;255;30.011014258
./TPTP-v8.2.0/Problems/LAT/LAT392-1.p;255;30.007357412;255;30.009273427;255;30.013003338;255;30.012438943;255;30.003843680;255;30.038838834
./TPTP-v8.2.0/Problems/LAT/LAT013-1.p;255;30.007786154;255;30.006703891;255;30.018851469;255;30.009706882;255;30.003334716;255;30.016326904
./TPTP-v8.2.0/Problems/LAT/LAT079-1.p;255;30.006401597;255;30.006370102;255;30.014719622;255;30.009969930;255;30.003451909;255;30.015523953
./TPTP-v8.2.0/Problems/LAT/LAT070-1.p;255;30.007365662;255;30.008061406;255;30.010847462;255;30.010629846;255;30.003194542;255;30.015009720
./TPTP-v8.2.0/Problems/LAT/LAT077-1.p;255;30.006747276;255;30.008885808;255;30.009886447;255;30.009139338;255;30.003579653;255;30.024292060
./TPTP-v8.2.0/Problems/LAT/LAT094-1.p;255;30.006039498;255;30.007849001;255;30.010470162;255;30.010663067;255;30.003559262;255;30.040991408
./TPTP-v8.2.0/Problems/LAT/LAT005-1.p;255;30.007332381;255;30.005861759;255;30.012456884;255;30.011375216;255;30.003990243;255;30.071578466
./TPTP-v8.2.0/Problems/LAT/LAT215-1.p;255;30.007880846;255;30.007551413;255;30.011377027;255;30.013223694;255;30.003840909;255;30.157892757
./TPTP-v8.2.0/Problems/LAT/LAT212-1.p;255;30.007962948;255;30.007576664;255;30.013168422;255;30.014449765;255;30.003698005;255;30.172659168
./TPTP-v8.2.0/Problems/LAT/LAT400-1.p;255;30.006766557;255;30.007338077;255;30.013803079;255;30.015143103;255;30.003540292;255;30.164995000
./TPTP-v8.2.0/Problems/LAT/LAT021-1.p;255;30.007061735;255;30.007275216;255;30.012095585;255;30.015160993;255;30.003862700;255;30.197109307
./TPTP-v8.2.0/Problems/LAT/LAT170-1.p;255;30.007258940;255;30.006383073;255;30.016289703;255;30.010285387;255;30.003938353;255;30.186584015
./TPTP-v8.2.0/Problems/LAT/LAT179-1.p;255;30.007836475;255;30.007036210;255;30.010213507;255;30.013269625;255;30.003854370;255;30.210694616
./TPTP-v8.2.0/Problems/LAT/LAT142-1.p;255;30.008402679;255;30.008794525;255;30.017261708;255;30.008951123;255;30.002785242;255;30.168204833
./TPTP-v8.2.0/Problems/LAT/LAT252-1.p;255;30.008271266;255;30.007226884;255;30.013747757;255;30.014079956;255;30.003169132;255;30.187010056
./TPTP-v8.2.0/Problems/LAT/LAT255-1.p;255;30.007621479;255;30.008427336;255;30.011763346;255;30.014328162;255;30.003134811;255;30.184515392
./TPTP-v8.2.0/Problems/LAT/LAT194-1.p;255;30.008693627;255;30.008473038;255;30.013090220;255;30.012562717;255;30.003439509;255;30.198080141
./TPTP-v8.2.0/Problems/LAT/LAT236-1.p;255;30.007945127;255;30.006577918;255;30.015549344;255;30.013134681;255;30.003428199;255;30.162931806
./TPTP-v8.2.0/Problems/LAT/LAT093-1.p;255;30.006008337;255;30.007246584;255;30.008482931;255;30.010033231;255;30.003205592;255;30.018685034
./TPTP-v8.2.0/Problems/LAT/LAT231-1.p;255;30.007467265;255;30.006939598;255;30.012953486;255;30.014368523;255;30.003556152;255;30.176146206
./TPTP-v8.2.0/Problems/LAT/LAT244-1.p;255;30.007555417;255;30.007505452;255;30.013097580;255;30.014337881;255;30.003081629;255;30.162573558
./TPTP-v8.2.0/Problems/LAT/LAT145-1.p;255;30.008599824;255;30.010186291;255;30.013733396;255;30.009815806;255;30.003098200;255;30.224566893
./TPTP-v8.2.0/Problems/LAT/LAT182-1.p;255;30.007474815;255;30.008152739;255;30.012726741;255;30.012559556;255;30.003913351;255;30.188638769
./TPTP-v8.2.0/Problems/LAT/LAT161-1.p;255;30.008154843;255;30.007587744;255;30.012843444;255;30.010324198;255;30.003314736;255;30.164004534
./TPTP-v8.2.0/Problems/LAT/LAT238-1.p;255;30.011765435;255;30.006850035;255;30.013267195;255;30.013180532;255;30.003414358;255;30.192528278
./TPTP-v8.2.0/Problems/LAT/LAT220-1.p;255;30.007683351;255;30.006890145;255;30.014385184;255;30.012405252;255;30.002967016;255;30.224641894
./TPTP-v8.2.0/Problems/LAT/LAT066-1.p;255;30.007028824;255;30.009229056;255;30.014337322;255;30.011541900;255;30.002492045;255;30.238725887
./TPTP-v8.2.0/Problems/LAT/LAT153-1.p;255;30.007425495;255;30.007385369;255;30.016082197;255;30.010462242;255;30.003430689;255;30.204006373
./TPTP-v8.2.0/Problems/LAT/LAT186-10.p;255;30.008506282;255;30.008464677;255;30.019613038;255;30.012745422;255;30.003502831;255;30.232733743
./TPTP-v8.2.0/Problems/LAT/LAT065-10.p;255;30.007846895;255;30.009154494;255;30.015849841;255;30.014194529;255;30.003046288;255;30.192037815
./TPTP-v8.2.0/Problems/LAT/LAT193-1.p;255;30.008140272;255;30.008960920;255;30.011753606;255;30.012289720;255;30.003387567;255;30.267622321
./TPTP-v8.2.0/Problems/LAT/LAT028-1.p;255;30.007112797;255;30.006051315;255;30.015092592;255;30.009926698;255;30.004669671;255;30.285123651
./TPTP-v8.2.0/Problems/LAT/LAT177-1.p;255;30.008460691;255;30.008366054;255;30.012474724;255;30.007775184;255;30.004039475;255;30.298529056
./TPTP-v8.2.0/Problems/LAT/LAT002-1.p;255;30.008293106;255;30.006529957;255;30.013209623;255;30.008118141;255;30.004079916;255;30.250610063
./TPTP-v8.2.0/Problems/LAT/LAT026-1.p;255;30.007297060;255;30.008072337;255;30.011781197;255;30.015159144;255;30.003747697;255;30.308308737
./TPTP-v8.2.0/Problems/LAT/LAT401-2.p;255;30.008842240;255;30.005644965;255;30.017157105;255;30.018928160;255;30.003461989;255;30.290416167
./TPTP-v8.2.0/Problems/LAT/LAT139-1.p;255;30.007620809;255;30.007437680;255;30.012004082;255;30.008910992;255;30.004288852;255;30.293755783
./TPTP-v8.2.0/Problems/LAT/LAT154-1.p;255;30.006671975;255;30.007746538;255;30.013181072;255;30.008930682;255;30.003498411;255;30.229164801
./TPTP-v8.2.0/Problems/LAT/LAT243-1.p;255;30.006856009;255;30.006291650;255;30.014351802;255;30.012029202;255;30.002969957;255;30.206752444
./TPTP-v8.2.0/Problems/LAT/LAT185-1.p;255;30.008442059;255;30.007932222;255;30.011399166;255;30.012776631;255;30.003002077;255;30.200808521
./TPTP-v8.2.0/Problems/LAT/LAT045-1.p;255;30.006309114;255;30.009009930;255;30.013054119;255;30.010438151;255;30.003303235;255;30.185987539
./TPTP-v8.2.0/Problems/LAT/LAT222-10.p;255;30.007725472;255;30.008961699;255;30.018327555;255;30.014137986;255;30.002832873;255;30.199768464
./TPTP-v8.2.0/Problems/LAT/LAT166-1.p;255;30.006993423;255;30.008865956;255;30.016272402;255;30.009179888;255;30.004119446;255;30.206145259
./TPTP-v8.2.0/Problems/LAT/LAT030-1.p;255;30.005546275;255;30.004656017;255;30.011730754;255;30.009783914;255;30.003203912;255;30.013961713
./TPTP-v8.2.0/Problems/LAT/LAT260-2.p;0;.031688346;0;.031140131;0;.045419579;0;.042325299;0;.006056296;0;.034243690
./TPTP-v8.2.0/Problems/LAT/LAT267-2.p;0;.029957691;0;.030481944;0;.042497274;0;.039028184;0;.004243889;0;.023591368
./TPTP-v8.2.0/Problems/LAT/LAT269-1.p;255;30.049036286;255;30.009463952;255;30.082796815;255;30.008912842;255;30.003387468;255;30.341881641
./TPTP-v8.2.0/Problems/LAT/LAT227-1.p;255;30.008509202;255;30.007025270;255;30.015710338;255;30.014564608;255;30.003817898;255;30.421976601
./TPTP-v8.2.0/Problems/LAT/LAT276-1.p;255;30.090896893;255;30.005988012;255;30.042961009;255;30.006997302;255;30.003500390;255;30.295909687
./TPTP-v8.2.0/Problems/LAT/LAT229-1.p;255;30.008724628;255;30.008344034;255;30.020457450;255;30.014139007;255;30.003800508;255;30.495396411
./TPTP-v8.2.0/Problems/LAT/LAT039-2.p;0;.044573817;0;.031847470;0;.050586451;0;.044180056;0;.004630589;0;.028841892
./TPTP-v8.2.0/Problems/LAT/LAT168-1.p;255;30.007038415;255;30.006327913;255;30.009409648;255;30.008970008;255;30.004101960;255;30.242497239
