file;cadical_rect_res;cadical_rect_time;cadical_core_res;cadical_core_time;cadical_hybrid_res;cadical_hybrid_time;z3_rect_res;z3_rect_time;z3_core;z3_core_time;z3_hybrid;z3_hybrid_time;meancop_res;meancop_time;ematching_res;ematching_time
./TPTP-v8.2.0/Problems/SYN/SYN238-1.p;0;.534515436;0;.375284179;0;3.515734070;0;.179288965;0;.921669606;0;.056616527;0;.008772202;0;.051745988
./TPTP-v8.2.0/Problems/SYN/SYN462-1.p;255;30.011022629;255;30.013823849;255;30.011005770;255;30.017786307;255;30.020386868;255;30.019517186;255;30.003395391;0;.192743361
./TPTP-v8.2.0/Problems/SYN/SYN244-1.p;0;.504075580;0;.352589176;0;3.063711253;0;.199385892;0;.834846200;0;.058733449;0;.008604987;0;.050398239
./TPTP-v8.2.0/Problems/SYN/SYN243-1.p;0;1.642526482;0;1.895678620;0;2.824582896;0;1.473357988;0;26.455643116;0;.059454629;0;.008716201;0;.296379129
./TPTP-v8.2.0/Problems/SYN/SYN220-1.p;255;30.013517093;0;2.533163034;0;3.090864958;0;23.414536787;255;30.006528018;0;.076476000;0;.007237937;0;.051961614
./TPTP-v8.2.0/Problems/SYN/SYN154-1.p;0;6.459490884;0;2.073979085;0;6.488287516;0;8.724868817;0;11.545664224;0;.053094748;0;.007322179;0;.057033241
./TPTP-v8.2.0/Problems/SYN/SYN295-1.p;0;.498732508;0;.397052439;0;2.491852110;0;.175981928;0;.895899775;0;.057865558;0;.009834887;0;.031896706
./TPTP-v8.2.0/Problems/SYN/SYN010-1.005.005.p;0;.042635892;0;.029588205;0;.032812555;0;.182043246;0;.041402254;0;.041780265;0;.013614536;0;.025226038
./TPTP-v8.2.0/Problems/SYN/SYN862-1.p;255;30.061831686;255;30.068028756;255;30.070283304;255;30.063593085;255;30.022064615;255;30.025837164;255;30.409492079;255;30.011154931
./TPTP-v8.2.0/Problems/SYN/SYN657-1.p;255;30.007829806;0;.102929569;0;.125207550;255;30.012763834;0;.670602337;0;.736863574;0;.802607535;0;.033087244
./TPTP-v8.2.0/Problems/SYN/SYN596-1.p;255;30.007545732;0;.099708037;0;.060314813;255;30.011768135;0;.106539255;0;.086004015;0;.005199151;0;.030164582
./TPTP-v8.2.0/Problems/SYN/SYN179-1.p;255;30.015371075;255;30.004923921;255;30.019490494;255;30.017510699;255;30.006235891;0;.434875672;255;30.003680853;0;.336995166
