file;cadical_rect_res;cadical_rect_time;cadical_core_res;cadical_core_time;meancop_res;meancop_time;ematching_res;ematching_time
./TPTP-v8.2.0/Problems/LAT/LAT220-1.p;255;30.007752898;255;30.007776037;255;30.003953625;255;30.236957072
./TPTP-v8.2.0/Problems/LAT/LAT243-1.p;255;30.007383788;255;30.007169089;255;30.003098700;255;30.201688902
./TPTP-v8.2.0/Problems/LAT/LAT139-1.p;255;30.007636307;255;30.007819159;255;30.003014189;255;30.270649467
./TPTP-v8.2.0/Problems/LAT/LAT045-1.p;255;30.007614504;255;30.008629131;255;30.003402219;255;30.205398547
./TPTP-v8.2.0/Problems/LAT/LAT066-1.p;255;30.008121569;255;30.007088528;255;30.003256736;255;30.256341652
./TPTP-v8.2.0/Problems/LAT/LAT166-1.p;255;30.009479116;255;30.006974633;255;30.003482761;255;30.198721118
./TPTP-v8.2.0/Problems/LAT/LAT154-1.p;255;30.007714647;255;30.007272132;255;30.003545983;255;30.224293673
./TPTP-v8.2.0/Problems/LAT/LAT026-1.p;255;30.007080411;255;30.007510790;255;30.003408311;255;30.320826680
./TPTP-v8.2.0/Problems/LAT/LAT186-10.p;255;30.008271104;255;30.009742183;255;30.006244340;255;30.280196867
./TPTP-v8.2.0/Problems/LAT/LAT028-1.p;255;30.006382110;255;30.007421477;255;30.002968868;255;30.325546263
./TPTP-v8.2.0/Problems/LAT/LAT002-1.p;255;30.008594602;255;30.007759406;255;30.003583804;255;30.289111080
./TPTP-v8.2.0/Problems/LAT/LAT222-10.p;255;30.008498439;255;30.008055394;255;30.003583414;255;30.250412633
./TPTP-v8.2.0/Problems/LAT/LAT227-1.p;255;30.007486281;255;30.007107839;255;30.003802191;255;30.421858342
./TPTP-v8.2.0/Problems/LAT/LAT269-2.p;255;30.009826676;255;30.007003770;0;.005859516;0;.030858014
./TPTP-v8.2.0/Problems/LAT/LAT269-1.p;255;30.059358944;255;30.007825788;255;30.004749698;255;30.447102267
./TPTP-v8.2.0/Problems/LAT/LAT229-1.p;255;30.007343367;255;30.005771201;255;30.003429231;255;30.474055002
./TPTP-v8.2.0/Problems/LAT/LAT276-1.p;255;30.093089311;255;30.007268320;255;30.004035085;255;30.383946386
./TPTP-v8.2.0/Problems/LAT/LAT039-2.p;0;.031463752;0;.030094303;0;.004602211;0;.031384489
./TPTP-v8.2.0/Problems/LAT/LAT271-2.p;0;.029662431;0;.028845227;0;.004128277;0;.025776810
./TPTP-v8.2.0/Problems/LAT/LAT168-1.p;255;30.006889165;255;30.006967367;255;30.003582448;255;30.239991543
./TPTP-v8.2.0/Problems/LAT/LAT203-1.p;255;30.007559974;255;30.007140773;255;30.003600710;255;30.083796389
./TPTP-v8.2.0/Problems/LAT/LAT204-1.p;255;30.007618217;255;30.007264350;255;30.004064640;255;30.089877520
./TPTP-v8.2.0/Problems/LAT/LAT037-1.p;255;30.007477784;255;30.006701168;255;30.003857621;255;30.103028693
./TPTP-v8.2.0/Problems/LAT/LAT261-1.p;0;14.549641561;0;9.518811526;0;.056379077;0;.060311218
./TPTP-v8.2.0/Problems/LAT/LAT221-1.p;255;30.008614344;255;30.007199254;255;30.004331720;255;30.106271951
./TPTP-v8.2.0/Problems/LAT/LAT012-1.p;255;30.007377030;255;30.011776538;255;30.003785123;255;30.147034533
./TPTP-v8.2.0/Problems/LAT/LAT015-1.p;255;30.006401596;255;30.005579798;255;30.003781447;255;30.017608473
./TPTP-v8.2.0/Problems/LAT/LAT270-1.p;255;30.046006857;255;30.008509578;0;.051081586;0;.333367278
./TPTP-v8.2.0/Problems/LAT/LAT226-1.p;255;30.007273855;255;30.006816329;255;30.003615570;255;30.095472267
./TPTP-v8.2.0/Problems/LAT/LAT276-2.p;255;30.010854189;255;30.006660726;255;30.003955917;0;.031981915
./TPTP-v8.2.0/Problems/LAT/LAT279-1.p;255;30.109184366;255;30.006489881;0;.050633824;255;30.259379595
./TPTP-v8.2.0/Problems/LAT/LAT266-1.p;255;30.046259116;255;30.007123940;0;.345258595;255;30.265754863
./TPTP-v8.2.0/Problems/LAT/LAT278-2.p;0;8.965484861;255;30.007452223;0;.005224848;0;.027555140
./TPTP-v8.2.0/Problems/LAT/LAT254-1.p;255;30.006609603;255;30.006010352;255;30.003374267;255;30.108587997
./TPTP-v8.2.0/Problems/LAT/LAT192-1.p;255;30.007810469;255;30.008251245;255;30.003393935;255;30.104430833
./TPTP-v8.2.0/Problems/LAT/LAT143-1.p;255;30.008691544;255;30.008308087;255;30.003911340;255;30.128772322
./TPTP-v8.2.0/Problems/LAT/LAT138-1.p;255;30.009047194;255;30.008722768;255;30.004042293;255;30.117887084
./TPTP-v8.2.0/Problems/LAT/LAT084-1.p;255;30.007094966;255;30.008964084;255;30.003312851;255;30.015724253
./TPTP-v8.2.0/Problems/LAT/LAT228-1.p;255;30.011401740;255;30.009285334;255;30.003980991;255;30.123979427
./TPTP-v8.2.0/Problems/LAT/LAT253-1.p;255;30.008351973;255;30.006284809;255;30.003451957;255;30.107657735
./TPTP-v8.2.0/Problems/LAT/LAT393-1.p;255;30.008952629;255;30.007957385;255;30.003217029;255;30.016820974
./TPTP-v8.2.0/Problems/LAT/LAT195-1.p;255;30.008244770;255;30.007709319;255;30.003788176;255;30.107693166
./TPTP-v8.2.0/Problems/LAT/LAT401-1.p;255;30.008567299;255;30.007714289;255;30.003673183;255;30.137387206
./TPTP-v8.2.0/Problems/LAT/LAT144-1.p;255;30.007594691;255;30.006778073;255;30.002776436;255;30.115914838
./TPTP-v8.2.0/Problems/LAT/LAT268-10.p;255;30.008921908;255;30.006704840;255;30.004064871;255;30.016542896
./TPTP-v8.2.0/Problems/LAT/LAT083-1.p;255;30.008970299;255;30.007917193;255;30.003308101;255;30.015339881
./TPTP-v8.2.0/Problems/LAT/LAT394-1.p;255;30.007497918;255;30.008666714;255;30.003356052;255;30.013950542
./TPTP-v8.2.0/Problems/LAT/LAT400-2.p;255;30.011588684;255;30.006117503;255;30.003989950;255;30.110898424
./TPTP-v8.2.0/Problems/LAT/LAT272-2.p;0;.032033466;0;.029574616;0;.005491656;0;.029995509
./TPTP-v8.2.0/Problems/LAT/LAT095-1.p;255;30.008191265;255;30.006921854;255;30.003360651;255;30.014930079
./TPTP-v8.2.0/Problems/LAT/LAT092-1.p;255;30.008683320;255;30.009526868;255;30.004165374;255;30.032583398
./TPTP-v8.2.0/Problems/LAT/LAT005-2.p;255;30.010054809;255;30.006704318;255;30.003411173;255;30.061791495
./TPTP-v8.2.0/Problems/LAT/LAT176-1.p;255;30.008624229;255;30.008301745;255;30.002946571;255;30.138271350
