file;cadical_rect_res;cadical_rect_time;meancop_res;meancop_time;mbqi_res;mbqi_time;ematching_res;ematching_time
./TPTP-v8.2.0/Problems/LAT/LAT261-2.p;0;.188298747;0;.072027162;0;.168596302;0;.163664407
./TPTP-v8.2.0/Problems/LAT/LAT270-2.p;0;.207941650;0;.065249219;0;.171974390;0;.108184268
./TPTP-v8.2.0/Problems/LAT/LAT267-1.p;0;13.234589792;0;.215674427;0;.152007129;0;.152016819
./TPTP-v8.2.0/Problems/LAT/LAT266-2.p;0;2.184161346;0;.067733923;0;11.603832733;0;.087997362
./TPTP-v8.2.0/Problems/LAT/LAT260-1.p;0;24.424214689;0;.057130381;0;.060075487;0;.060354924
./TPTP-v8.2.0/Problems/LAT/LAT279-2.p;0;2.760115170;0;.060008075;0;24.520287157;0;.031818094
./TPTP-v8.2.0/Problems/LAT/LAT277-2.p;255;30.018857973;0;.003883769;0;4.741271304;0;.087864558
./TPTP-v8.2.0/Problems/LAT/LAT039-1.p;255;30.038047544;0;.004344602;255;30.009215709;0;.037944241
./TPTP-v8.2.0/Problems/LAT/LAT042-1.p;255;30.018619848;0;.193480430;255;30.008170572;0;.109169982
./TPTP-v8.2.0/Problems/LAT/LAT271-1.p;255;30.097253259;0;.049443375;255;30.027812324;0;.335197106
./TPTP-v8.2.0/Problems/LAT/LAT268-2.p;255;30.028332186;0;2.567437511;255;30.010124102;0;.239494307
./TPTP-v8.2.0/Problems/LAT/LAT014-1.p;0;5.632093222;0;.079994546;255;30.036444264;255;30.129558888
./TPTP-v8.2.0/Problems/LAT/LAT005-1.p;255;30.022640400;255;30.003413500;0;4.499324364;255;30.050649231
./TPTP-v8.2.0/Problems/LAT/LAT179-1.p;255;30.007631606;255;30.003406090;255;30.007913398;255;30.089628991
./TPTP-v8.2.0/Problems/LAT/LAT215-1.p;255;30.007950115;255;30.004132789;255;30.008796380;255;30.102886390
./TPTP-v8.2.0/Problems/LAT/LAT082-1.p;255;30.018204247;255;30.003421160;255;30.009001895;255;30.020185874
./TPTP-v8.2.0/Problems/LAT/LAT021-1.p;255;30.007075752;255;30.003196645;255;30.008069002;255;30.142940115
./TPTP-v8.2.0/Problems/LAT/LAT085-1.p;255;30.019500500;255;30.003864982;255;30.009500819;255;30.018676506
./TPTP-v8.2.0/Problems/LAT/LAT392-1.p;255;30.017740075;255;30.003496463;255;30.008409271;255;30.020852091
./TPTP-v8.2.0/Problems/LAT/LAT026-1.p;255;30.009491544;255;30.004097108;255;30.008106502;255;30.188759607
