file;cadical_rect_res;cadical_rect_time;cadical_core_res;cadical_core_time;meancop_res;meancop_time;mbqi_res;mbqi_time;ematching_res;ematching_time
./TPTP-v8.2.0/Problems/LAT/LAT186-10.p;255;30.008030712;255;30.008793142;255;30.003190232;255;30.011489202;255;30.221624244
./TPTP-v8.2.0/Problems/LAT/LAT243-1.p;255;30.007157598;255;30.006970271;255;30.003574131;255;30.006758736;255;30.174517493
./TPTP-v8.2.0/Problems/LAT/LAT267-2.p;0;.029850896;0;.030838781;0;.005000012;0;.025803969;0;.025975264
./TPTP-v8.2.0/Problems/LAT/LAT238-1.p;255;30.007979700;255;30.007217448;255;30.003793047;255;30.010934956;255;30.205353045
./TPTP-v8.2.0/Problems/LAT/LAT185-1.p;255;30.007237691;255;30.006647432;255;30.003491039;255;30.009858807;255;30.200805675
./TPTP-v8.2.0/Problems/LAT/LAT161-1.p;255;30.008030902;255;30.005927343;255;30.003384905;255;30.011432798;255;30.189992360
./TPTP-v8.2.0/Problems/LAT/LAT222-10.p;255;30.008534967;255;30.007391101;255;30.003209571;255;30.010735220;255;30.190816882
./TPTP-v8.2.0/Problems/LAT/LAT255-1.p;255;30.006847773;255;30.007886179;255;30.003352818;255;30.008419972;255;30.264546224
./TPTP-v8.2.0/Problems/LAT/LAT026-1.p;255;30.007611544;255;30.007422608;255;30.003844123;255;30.008415804;255;30.307181918
./TPTP-v8.2.0/Problems/LAT/LAT153-1.p;255;30.007769575;255;30.007253490;255;30.003647343;255;30.008854162;255;30.237039339
./TPTP-v8.2.0/Problems/LAT/LAT065-10.p;255;30.009016334;255;30.007725491;255;30.003166840;255;30.009192410;255;30.229394778
./TPTP-v8.2.0/Problems/LAT/LAT045-1.p;255;30.007503182;255;30.006532920;255;30.003782896;255;30.008914462;255;30.228440412
./TPTP-v8.2.0/Problems/LAT/LAT166-1.p;255;30.006702224;255;30.006315262;255;30.003718714;255;30.007734031;255;30.219961149
./TPTP-v8.2.0/Problems/LAT/LAT139-1.p;255;30.006965004;255;30.006660197;255;30.003072971;255;30.012090190;255;30.307007832
./TPTP-v8.2.0/Problems/LAT/LAT154-1.p;255;30.007316758;255;30.007359622;255;30.003221912;255;30.008498922;255;30.285719459
./TPTP-v8.2.0/Problems/LAT/LAT002-1.p;255;30.008213466;255;30.005471983;255;30.003543222;255;30.011533193;255;30.318875382
./TPTP-v8.2.0/Problems/LAT/LAT227-1.p;255;30.008049779;255;30.006701956;255;30.003341297;255;30.008376170;255;30.346893251
./TPTP-v8.2.0/Problems/LAT/LAT028-1.p;255;30.007861786;255;30.006296427;255;30.003010860;255;30.010218981;255;30.393984911
./TPTP-v8.2.0/Problems/LAT/LAT269-1.p;255;30.085018425;255;30.007278200;255;30.004781303;255;30.013023391;255;30.364938234
./TPTP-v8.2.0/Problems/LAT/LAT276-1.p;255;30.104589181;255;30.006110543;255;30.003533044;255;30.009618846;255;30.284546803
./TPTP-v8.2.0/Problems/LAT/LAT229-1.p;255;30.008120653;255;30.005901136;255;30.004075246;255;30.010323532;255;30.441637673
./TPTP-v8.2.0/Problems/LAT/LAT039-2.p;0;.032634859;0;.028974842;0;.004588681;0;.033065409;0;.026886668
./TPTP-v8.2.0/Problems/LAT/LAT168-1.p;255;30.006312690;255;30.006012794;255;30.003446170;255;30.007400118;255;30.247299254
./TPTP-v8.2.0/Problems/LAT/LAT271-2.p;0;.030563954;0;.029916207;0;.004912519;0;.032391992;0;.026616110
./TPTP-v8.2.0/Problems/LAT/LAT203-1.p;255;30.006726972;255;30.007037227;255;30.003842821;255;30.007989249;255;30.088503477
./TPTP-v8.2.0/Problems/LAT/LAT204-1.p;255;30.007940583;255;30.006907195;255;30.003131738;255;30.007654719;255;30.092138302
./TPTP-v8.2.0/Problems/LAT/LAT278-1.p;255;30.149686662;255;30.006650435;0;.051473157;255;30.030838648;255;30.232579505
./TPTP-v8.2.0/Problems/LAT/LAT269-2.p;255;30.008898586;255;30.008147421;0;.006373618;255;30.012298765;0;.028159680
./TPTP-v8.2.0/Problems/LAT/LAT037-1.p;255;30.007105124;255;30.005376280;255;30.003697746;255;30.008787232;255;30.100703888
./TPTP-v8.2.0/Problems/LAT/LAT261-1.p;0;11.051342222;255;30.006242895;0;.057229813;0;.059630376;0;.059192093
./TPTP-v8.2.0/Problems/LAT/LAT221-1.p;255;30.007164965;255;30.007278219;255;30.004140768;255;30.011392394;255;30.106261829
./TPTP-v8.2.0/Problems/LAT/LAT012-1.p;255;30.007020016;255;30.007071232;255;30.003908995;255;30.010063415;255;30.140821185
./TPTP-v8.2.0/Problems/LAT/LAT270-1.p;255;30.073043136;255;30.007981035;0;.058739160;0;23.457635616;0;.335917629
./TPTP-v8.2.0/Problems/LAT/LAT015-1.p;255;30.006000131;255;30.005466832;255;30.003708803;255;30.010335619;255;30.016640506
./TPTP-v8.2.0/Problems/LAT/LAT226-1.p;255;30.007449519;255;30.006759483;255;30.004002113;255;30.008338294;255;30.112962060
./TPTP-v8.2.0/Problems/LAT/LAT276-2.p;255;30.010602501;255;30.006039173;255;30.003336844;255;30.009610126;0;.030850627
./TPTP-v8.2.0/Problems/LAT/LAT279-1.p;255;30.130332912;255;30.006699651;0;.049572951;255;30.029951030;255;30.258780250
./TPTP-v8.2.0/Problems/LAT/LAT266-1.p;255;30.043287699;255;30.007439937;0;.352038563;255;30.010920206;255;30.248887568
./TPTP-v8.2.0/Problems/LAT/LAT254-1.p;255;30.006756100;255;30.007823216;255;30.003618377;255;30.010140369;255;30.106480917
./TPTP-v8.2.0/Problems/LAT/LAT005-2.p;255;30.008889992;255;30.006321845;255;30.003436481;0;7.484304848;255;30.037330729
./TPTP-v8.2.0/Problems/LAT/LAT192-1.p;255;30.007097865;255;30.005590296;255;30.003973846;255;30.006131549;255;30.133756916
./TPTP-v8.2.0/Problems/LAT/LAT084-1.p;255;30.006678879;255;30.006973608;255;30.002836340;255;30.009981755;255;30.014505717
./TPTP-v8.2.0/Problems/LAT/LAT143-1.p;255;30.007837445;255;30.007458765;255;30.003506392;255;30.006977861;255;30.147284879
./TPTP-v8.2.0/Problems/LAT/LAT138-1.p;255;30.008346457;255;30.008960363;255;30.003122982;255;30.008557882;255;30.125311225
./TPTP-v8.2.0/Problems/LAT/LAT401-1.p;255;30.009050255;255;30.007241898;255;30.004076917;255;30.009169857;255;30.115304692
./TPTP-v8.2.0/Problems/LAT/LAT228-1.p;255;30.008369778;255;30.007401953;255;30.004096248;255;30.008381528;255;30.146584990
./TPTP-v8.2.0/Problems/LAT/LAT253-1.p;255;30.007261468;255;30.007333930;255;30.004003754;255;30.009112835;255;30.119408189
./TPTP-v8.2.0/Problems/LAT/LAT393-1.p;255;30.009655596;255;30.007518420;255;30.003859606;255;30.007051128;255;30.014785432
./TPTP-v8.2.0/Problems/LAT/LAT268-10.p;255;30.011025562;255;30.006679098;255;30.003367253;255;30.008951396;255;30.011461786
